puzzle_id,technique_code,use_count
hsp-119a6e95f4f83134decd,fullHouse,21
hsp-119a6e95f4f83134decd,nakedSingle,34
hsp-84bc91c1683157b624df,fullHouse,21
hsp-84bc91c1683157b624df,nakedSingle,34
hsp-7d3e2e7843a03b82d8dc,fullHouse,21
hsp-7d3e2e7843a03b82d8dc,nakedSingle,35
hsp-012e4fc375e0b1cee315,fullHouse,21
hsp-012e4fc375e0b1cee315,nakedSingle,35
hsp-6e468578a78cb58bf69f,fullHouse,21
hsp-6e468578a78cb58bf69f,nakedSingle,35
hsp-b116a9e25fc74768b96d,fullHouse,21
hsp-b116a9e25fc74768b96d,nakedSingle,35
hsp-a81eb8fcd58d12320595,fullHouse,21
hsp-a81eb8fcd58d12320595,nakedSingle,36
hsp-f0c5759515071f4c7c70,fullHouse,21
hsp-f0c5759515071f4c7c70,nakedSingle,36
hsp-4287ae46fb56fb055489,fullHouse,21
hsp-4287ae46fb56fb055489,nakedSingle,36
hsp-f08f16d935f57905864d,fullHouse,21
hsp-f08f16d935f57905864d,nakedSingle,36
hsp-4dd0bee8d231bc293ce6,fullHouse,21
hsp-4dd0bee8d231bc293ce6,nakedSingle,32
hsp-4dd0bee8d231bc293ce6,hiddenSingle,2
hsp-7ea2e60f8fdc91ebfbba,fullHouse,21
hsp-7ea2e60f8fdc91ebfbba,nakedSingle,31
hsp-7ea2e60f8fdc91ebfbba,hiddenSingle,4
hsp-a6e513546e7291092ac8,fullHouse,21
hsp-a6e513546e7291092ac8,nakedSingle,34
hsp-a6e513546e7291092ac8,hiddenSingle,1
hsp-93feeb02a9109b3d0b6f,fullHouse,21
hsp-93feeb02a9109b3d0b6f,nakedSingle,31
hsp-93feeb02a9109b3d0b6f,hiddenSingle,4
hsp-a5c2895b8915c769d67d,fullHouse,21
hsp-a5c2895b8915c769d67d,nakedSingle,33
hsp-a5c2895b8915c769d67d,hiddenSingle,2
hsp-ee0ed351592a865e6e45,fullHouse,21
hsp-ee0ed351592a865e6e45,nakedSingle,30
hsp-ee0ed351592a865e6e45,hiddenSingle,5
hsp-6928217055fb79bad9ba,fullHouse,21
hsp-6928217055fb79bad9ba,nakedSingle,30
hsp-6928217055fb79bad9ba,hiddenSingle,3
hsp-6cb7ebb56a20064d65c4,fullHouse,21
hsp-6cb7ebb56a20064d65c4,nakedSingle,35
hsp-6cb7ebb56a20064d65c4,hiddenSingle,1
hsp-7cfbe1f6e1dbe2ba755d,fullHouse,21
hsp-7cfbe1f6e1dbe2ba755d,nakedSingle,32
hsp-7cfbe1f6e1dbe2ba755d,hiddenSingle,4
hsp-8234eb0e6c4dfe55509e,fullHouse,21
hsp-8234eb0e6c4dfe55509e,nakedSingle,30
hsp-8234eb0e6c4dfe55509e,hiddenSingle,6
hsp-00d4563dd69b0becf1b2,fullHouse,19
hsp-00d4563dd69b0becf1b2,nakedSingle,32
hsp-00d4563dd69b0becf1b2,hiddenSingle,4
hsp-fc525014920350d18024,fullHouse,21
hsp-fc525014920350d18024,nakedSingle,31
hsp-fc525014920350d18024,hiddenSingle,3
hsp-305b0ff89492b6a41deb,fullHouse,21
hsp-305b0ff89492b6a41deb,nakedSingle,36
hsp-305b0ff89492b6a41deb,hiddenSingle,1
hsp-0eac85a42f5d8154c990,fullHouse,21
hsp-0eac85a42f5d8154c990,nakedSingle,36
hsp-0eac85a42f5d8154c990,hiddenSingle,1
hsp-29f0107d21c4b10189f5,fullHouse,21
hsp-29f0107d21c4b10189f5,nakedSingle,32
hsp-29f0107d21c4b10189f5,hiddenSingle,3
hsp-72f8985928249c5aceb7,fullHouse,21
hsp-72f8985928249c5aceb7,nakedSingle,32
hsp-72f8985928249c5aceb7,hiddenSingle,3
hsp-0c3b9d19b4cbfa455b23,fullHouse,21
hsp-0c3b9d19b4cbfa455b23,nakedSingle,33
hsp-0c3b9d19b4cbfa455b23,hiddenSingle,2
hsp-71f6f406eb88f51666a9,fullHouse,20
hsp-71f6f406eb88f51666a9,nakedSingle,35
hsp-71f6f406eb88f51666a9,hiddenSingle,1
hsp-11e5338587c741f6987d,fullHouse,21
hsp-11e5338587c741f6987d,nakedSingle,34
hsp-11e5338587c741f6987d,hiddenSingle,4
hsp-82c46eb4d8b5ece22b1a,fullHouse,21
hsp-82c46eb4d8b5ece22b1a,nakedSingle,34
hsp-82c46eb4d8b5ece22b1a,hiddenSingle,2
hsp-a8ff2c825d5c39fa2d70,fullHouse,21
hsp-a8ff2c825d5c39fa2d70,nakedSingle,33
hsp-a8ff2c825d5c39fa2d70,hiddenSingle,3
hsp-28933eab134d0a5b54ed,fullHouse,21
hsp-28933eab134d0a5b54ed,nakedSingle,33
hsp-28933eab134d0a5b54ed,hiddenSingle,2
hsp-14bb57877695ebebf363,fullHouse,21
hsp-14bb57877695ebebf363,nakedSingle,30
hsp-14bb57877695ebebf363,hiddenSingle,5
hsp-c058e58ffd6fcc62dd8d,fullHouse,21
hsp-c058e58ffd6fcc62dd8d,nakedSingle,26
hsp-c058e58ffd6fcc62dd8d,hiddenSingle,7
hsp-21cbbddca9ebbc9aa030,fullHouse,21
hsp-21cbbddca9ebbc9aa030,nakedSingle,33
hsp-21cbbddca9ebbc9aa030,hiddenSingle,3
hsp-972a14d60b00dff98108,fullHouse,21
hsp-972a14d60b00dff98108,nakedSingle,34
hsp-972a14d60b00dff98108,hiddenSingle,2
hsp-0fa1566997ee5197ce67,fullHouse,20
hsp-0fa1566997ee5197ce67,nakedSingle,33
hsp-0fa1566997ee5197ce67,hiddenSingle,2
hsp-8e242ffbfe1a0635f68a,fullHouse,21
hsp-8e242ffbfe1a0635f68a,nakedSingle,34
hsp-8e242ffbfe1a0635f68a,hiddenSingle,3
hsp-58521706900009206ca9,fullHouse,21
hsp-58521706900009206ca9,nakedSingle,31
hsp-58521706900009206ca9,hiddenSingle,6
hsp-560ce71e4a01d8b0a744,fullHouse,21
hsp-560ce71e4a01d8b0a744,nakedSingle,35
hsp-560ce71e4a01d8b0a744,hiddenSingle,2
hsp-2231e5cd2c00aacb5f2e,fullHouse,21
hsp-2231e5cd2c00aacb5f2e,nakedSingle,25
hsp-2231e5cd2c00aacb5f2e,hiddenSingle,10
hsp-d4cb66a7c85e2f03ce6c,fullHouse,21
hsp-d4cb66a7c85e2f03ce6c,nakedSingle,30
hsp-d4cb66a7c85e2f03ce6c,hiddenSingle,5
hsp-f8f47c4d072e36cf98d2,fullHouse,21
hsp-f8f47c4d072e36cf98d2,nakedSingle,29
hsp-f8f47c4d072e36cf98d2,hiddenSingle,6
hsp-a33fdcaf14bddd23088a,fullHouse,21
hsp-a33fdcaf14bddd23088a,nakedSingle,26
hsp-a33fdcaf14bddd23088a,hiddenSingle,9
hsp-c351cd33d63b2e42f139,fullHouse,21
hsp-c351cd33d63b2e42f139,nakedSingle,31
hsp-c351cd33d63b2e42f139,hiddenSingle,4
hsp-d49bee6bf1aad3a04091,fullHouse,21
hsp-d49bee6bf1aad3a04091,nakedSingle,30
hsp-d49bee6bf1aad3a04091,hiddenSingle,5
hsp-b1efb797f0572c18d1ef,fullHouse,21
hsp-b1efb797f0572c18d1ef,nakedSingle,29
hsp-b1efb797f0572c18d1ef,hiddenSingle,4
hsp-b6bcd5661ac350c2b855,fullHouse,21
hsp-b6bcd5661ac350c2b855,nakedSingle,32
hsp-b6bcd5661ac350c2b855,hiddenSingle,4
hsp-02393a4305bfca67aef4,fullHouse,20
hsp-02393a4305bfca67aef4,nakedSingle,36
hsp-02393a4305bfca67aef4,hiddenSingle,1
